Название,Slug,Collection ID,Item ID,Created On,Updated On,Published On,ID-события,Сегодня в музее,Дата прописью,Дата для сортировки,Время,Пушкинская карта,Описание,Основной текст,Обложка,Превью,Цвет фона,Цвет текста,ID Категории TeleGreen,ID Мероприятия TeleGreen,ID Сеанса TeleGreen
"Ансамбль девяти саксофонов  ""NOVO"" 6+",ansambl-devyati-saksofonov-novo,63e507244eda1eb2934c7d16,6525107bb30c6b24fc82fb94,Tue Oct 10 2023 08:51:07 GMT+0000 (Coordinated Universal Time),Sun Nov 12 2023 08:07:27 GMT+0000 (Coordinated Universal Time),Sun Nov 12 2023 08:07:27 GMT+0000 (Coordinated Universal Time),637461,false,11 ноября 2023,Sat Nov 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),17.00,false,,"<p>Благодаря артистизму и мастерству саксофонистов-виртуозов, неподражаемой и оригинальной манере исполнения, вы по-новому откроете для себя любимые и известные произведения классиков – божественные хоралы И.- С. Баха, веселые и сказочные танцы из балета «Щелкунчик» П. И. Чайковского, яркие и чувственные арии Кармен и Тореадора из оперы «Кармен» Ж. Бизе, зажигательные «Славянские танцы» А. Дворжака и многое-многое другое... В этой яркой музыкальной палитре жанров и стилей каждый найдет и услышит для себя нечто восхитительно новое! </p><p id=""""><strong><em>&nbsp;В программе:</em></strong></p><p id="""">1. И.С. Бах. Прелюдия до минор</p><p id="""">2. И.С. Бах. Пассакалья до минор</p><p id="""">3. Э. Григ. Сюита «Из времен Хольберга»</p><p id="""">4. П. Чайковский. Сюита из балета «Щелкунчик»</p><p id="""">5. Ж. Бизе. Сюита «Кармен»</p><p id="""">6. Г. Форе. Павана</p><p id="""">7. А. Дворжак. Славянский танец</p><p id="""">7. Д. Шостакович. Джаз-сюита</p><p id="""">8. А. Пьяццолла. Времена года. Зима</p><p id=""""><em><br>Музыканты ансамбля обещают удивлять весь вечер, ведь звучать будет &nbsp;не просто музыка, а мировые симфонические шедевры на девяти саксофонах!&nbsp;</em></p><p id=""""><em>В программе возможны изменения.</em></p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6525103315156fe7b25cf7c6_23.11.11.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6525105afbebaae025c96450_%D0%94%D0%B5%D0%B2%D1%8F%D1%82%D1%8C%20%D1%81%D0%B0%D0%BA%D1%81%D0%BE%D1%84%D0%BE%D0%BD%D0%BE%D0%B2.jpg,,,,,
"""ИЮНЬСКОЕ СОЗВУЧИЕ"" Лауреаты Международных конкурсов и Большой симфонический оркестр имени П. И. Чайковского 6+",associaciya-laureatov-mezhdunarodnogo-konkursa-im-p-i-chaykovskogo,63e507244eda1eb2934c7d16,6637ae9445ae3a471012e610,Sun May 05 2024 16:06:44 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 12:34:21 GMT+0000 (Coordinated Universal Time),Tue Jun 18 2024 12:34:21 GMT+0000 (Coordinated Universal Time),,true,27 июня 2024,Thu Jun 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),20.00,true,,"<h5 id=""""><em id="""">Исполнители:</em></h5><h5 id="""">Лауреаты Международного конкурса имени П. И. Чайковского и Международного юношеского конкурса имени П. И.Чайковского</h5><p id="""">Соа Е (фортепиано, Республика Корея)</p><p id="""">Анастасия Ушакова (виолончель, Россия)</p><p id="""">Лауреат Международного конкурса«Grand Piano Competition»</p><p id="""">Варвара Кутузова (фортепиано, Россия)</p><p id="""">Лауреат Международного конкурса альтистов «Viola masters»</p><p id="""">Чжан Кайлинь<em id=""""> (альт, Китай)</em></p><p id="""">Мария Баракова (меццо-сопрано, Россия)</p><p>‍</p><p id="""">&nbsp;</p><p id="""">Большой симфонический оркестр имени П. И. Чайковского</p><p id="""">Дирижер — Джузеппе Монополи (Италия)</p><p id="""">&nbsp;</p><h5 id=""""><em id="""">Программа:</em></h5><p id=""""><strong id="""">ПЕРВОЕ ОТДЕЛЕНИЕ</strong></p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">АНАСТАСИЯ УШАКОВА</strong></p><p id=""""><em id="""">Лауреат IX Международного юношеского конкурса имени П. И. Чайковского (2015)</em></p><p id=""""><em id="""">Россия, виолончель</em></p><p id="""">&nbsp;</p><p id=""""><strong id="""">Камиль Сен-Санс</strong></p><p id="""">Концерт для виолончели с оркестром</p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">Е СОА</strong></p><p id=""""><em id="""">Лауреат XVII Международного конкурса имени П. И. Чайковского (2023)</em></p><p id=""""><em id="""">Республика Корея, фортепиано</em></p><p id="""">&nbsp;</p><p id=""""><strong id="""">Сергей Рахманинов</strong></p><p id="""">Концерт для фортепиано с оркестром №3, вторая и третья части</p><p>‍</p><p id=""""><strong id="""">МАРИЯ БАРАКОВА</strong></p><p id="""">Лауреат XVI Международного конкурса имени П. И. Чайковского (2019)</p><p id="""">Россия, меццо-сопрано</p><p id=""""><strong id="""">Пётр Чайковский</strong></p><p id="""">Ария Иоанны из оперы «Орлеанская дева»</p><p id="""">Жорж Бизе</p><p id="""">Хабанера из оперы «Кармен»</p><p>‍</p><p id="""">&nbsp;</p><p id=""""><strong id="""">ВТОРОЕ ОТДЕЛЕНИЕ</strong></p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">КАЙЛИНЬ ЧЖАН </strong></p><p id=""""><em id="""">Лауреат IX Международного конкурса альтистов “Viola masters” Юрия Башмета (2023)</em></p><p id=""""><em id="""">Китай, альт</em></p><p id="""">&nbsp;</p><p id=""""><strong id="""">Альфред Шнитке</strong></p><p id="""">Концерт для альта с оркестром, вторая часть.</p><p id=""""><strong id="""">&nbsp;</strong><em id="""">&nbsp;</em></p><p id=""""><strong id="""">Жорж Бизе</strong></p><p id="""">Хабанера из оперы «Кармен»</p><p id=""""><strong id="""">&nbsp;</strong></p><p id=""""><strong id="""">ВАРВАРА КУТУЗОВА</strong></p><p id=""""><em id="""">Лауреат международных конкурсов</em></p><p id=""""><em id="""">Россия, фортепиано</em></p><p id="""">&nbsp;</p><p id=""""><strong id="""">Пётр Чайковский</strong></p><p id="""">Концерт для фортепиано с оркестром №1, первая часть</p><p id="""">&nbsp;</p><p id=""""><em id="""">В программе возможны изменения</em></p><p id="""">‍</p><p id=""""><a href=""https://widget.telegreen.ru/tickets/tchaikovsky/0/0/10/0/165/0/0/isFrame:1;/widget4"">КУПИТЬ БИЛЕТ</a></p><p id="""">‍</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/66717eca0764ffac2bee9701_27-%D0%B8%D1%8E%D0%BD%D1%8F.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/66420e2b261b241f0d864cdc_%D0%91%D0%A1%D0%9E.jpg,#0b997a,,10,164,16040
"Театр ""Русский балет"" ЩЕЛКУНЧИК 6+",balet-shchelkunchik-teatr-russkiy-balet-6,63e507244eda1eb2934c7d16,6532833502f83ef7a01eac0e,Fri Oct 20 2023 13:40:05 GMT+0000 (Coordinated Universal Time),Mon Dec 11 2023 06:52:15 GMT+0000 (Coordinated Universal Time),Mon Dec 11 2023 06:52:15 GMT+0000 (Coordinated Universal Time),"0,91744",false,10 декабря 2023,Sun Dec 10 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"14.00, 18.00",false,,"<p id=""""><strong id=""""><em id="""">Театр Русский балет представляет сказочный рождественский балет «Щелкунчик» в блестящей постановке В. Гордеева. Хореография – М. Петипа, В. Гордеев</em></strong></p><p id="""">Балет «Щелкунчик» занимает особое место в репертуаре театра «Русский балет». Ни одно празднование Рождества и Нового года не обходится без героев этой удивительной и мудрой сказки, которую полюбили и взрослые, и дети. Это повесть о зарождении первой любви и открытии огромного мира переживаний и чувств. Зрителей восхищают храбрость Принца-Щелкунчика, победившего войско коварной Мышильды, доброта и смелость маленькой Маши, разглядевшей в деревянной кукле-Щелкунчике благородного и бесстрашного Принца и, конечно, сказочный мир новогодних чудес и превращений. </p><p id="""">Историческая премьера балета «Щелкунчик» состоялась в 1892 году на сцене Мариинского театра в Санкт-Петербурге. Либретто, созданное Мариусом Петипа по мотивам сказки Гофмана «Щелкунчик и мышиный король», со временем претерпевало разные интерпретации, однако во всех редакциях и постановках добро побеждало зло, а любовь торжествовала. Гениальная музыка Петра Ильича Чайковского сегодня по-прежнему дает безграничные возможности для нового творческого поиска балетмейстерам и танцовщикам, а красочные декорации дополняют сценические образы, обращая чудесный сказочный мир в реальность. </p><p id=""""><strong id=""""><em id="""">Балет «Щелкунчик» в постановке театра «Русский балет» – это удивительная, таинственная, добрая рождественская сказка. Это настоящий новогодний семейный спектакль с волшебным сюжетом и ярким калейдоскопом сцен!</em></strong></p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65327fc71ba0a8ed2ffa4f57_10.12.23.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65328e5f5f528004ac66148e_10.12.23.jpg,#e1223c,,,,
БАРОЧНЫЕ ИСТОРИИ 12+,barochnye-istorii-12,63e507244eda1eb2934c7d16,65ce0dc888af1b304d13fdca,Thu Feb 15 2024 13:12:40 GMT+0000 (Coordinated Universal Time),Mon Apr 01 2024 06:34:55 GMT+0000 (Coordinated Universal Time),Mon Apr 01 2024 06:34:55 GMT+0000 (Coordinated Universal Time),,false,31 марта 2024,Sun Mar 31 2024 00:00:00 GMT+0000 (Coordinated Universal Time),16.30,true,Произведения европейских композиторов XVI - XVII веков,"<p>Прожить время в темпе эпохи барокко, услышать мелодии и ритмы старинной европейской музыки в аутентичном и проникновенном исполнении предлагают музыканты – исполнитель старинной музыки на лютне Константин Щеников-Архаров и меццо-сопрано Елизавета Князева.</p><p>‍</p><p id=""""><em>В программе концерта светские и духовные произведения &nbsp;западно-европейских композиторов 16-17 веков: Монтеверди, Пёрсела, Каччини, Санчеса.</em></p><p>‍</p><p id=""""><strong id="""">Константин ЩЕНИКОВ-АРХАРОВ</strong> (архилютня)</p><p id=""""><strong id="""">Елена КНЯЗЕВА</strong> (меццо-сопрано)</p><p>‍</p><p id=""""><em>Выставочный зал 1-го этажа</em></p><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/65ce0dc1814a324be25ef42a_31.03.24.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/66016084218b06635467e49c_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%20%D0%A9%D0%B5%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2-%D0%90%D1%80%D1%85%D0%B0%D1%80%D0%BE%D0%B2.jpg,,,10,139,14827
IX Международный фестиваль искусств П.И. Чайковского. Большой Джазовый Оркестр Петра Востокова (6+),bolshoy-dzhazovyy-orkestr-petra-vostokova-6,63e507244eda1eb2934c7d16,645747055a0c74733d24942c,Sun May 07 2023 06:36:53 GMT+0000 (Coordinated Universal Time),Wed Jul 05 2023 07:03:26 GMT+0000 (Coordinated Universal Time),Wed Jul 05 2023 07:06:06 GMT+0000 (Coordinated Universal Time),569051,false,01 июля,Sat Jul 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time),20:00,false,,"<h4 id=""""><strong id="""">Большой Джазовый Оркестр Петра Востокова.</strong></h4><p id=""""><strong id="""">&nbsp;</strong></p><p id="""">В концерте Большого Джазового Оркестра Петра Востокова принимают участие солисты:</p><p id="""">София Ацбеха-Негга (вокал),</p><p id="""">Андрей Баталеев (альт-саксофон),</p><p id="""">Родион Грищенко (гитара),</p><p id="""">Михаил Дмитриев (контрабас),</p><p id="""">Даниэль Адиянц (фортепиано).</p><p id="""">Программа концерта представляет разнообразную музыку «от эпохи Мендельсона до саксофона», – как любил говорить Леонид Утёсов.</p><p id="""">Большой Джазовый Оркестр (БДО) был создан в 2010 году известным джазовым музыкантом Петром Востоковым вместе с певицей Дарьей Антоновой. Основной задачей коллектива&nbsp; стало восстановление и поддержание жизни лучших образцов оркестровой джазовой и свинговой музыки.</p><p id="""">БДО принимал участие в крупнейших российских и международных фестивалях: «Джаз в Саду Эрмитаж», «Триумф Джаза», «Мировые звезды Российского джаза», «Koktebel Jazz Party» и многих других. За последние несколько лет оркестр принял участие в съемках нескольких крупных телевизионных и интернет-проектов: «Большой мюзикл», «Большой джаз», «LAB с Антоном Беляевым». Участвовал в записи музыки к популярным фильмам и сериалам («Домашний арест», «Одесский пароход», «Чебурашка» и др.).&nbsp;</p><p id="""">&nbsp;</p><p id="""">В 2022 году оркестр активно участвовал в праздновании 100-летия Российского джаза, выступив 1 октября в гала-концерте на главной сцене Большого театра России, а также на исторической сцене ГИТИСа, где ровно&nbsp; 100 лет назад&nbsp; проходил первый концерт джаз-банда Валентина Парнаха.</p><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/645746fbedf927dc4ec81b0d_1-%D0%B8%D1%8E%D0%BB%D1%8F.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/645746feedf9273d55c81b11_%D0%94%D0%B6%D0%B0%D0%B7%20-%201.jpg,"hsla(166.90140845070422, 86.59%, 32.16%, 1.00)","hsla(60, 1.64%, 11.96%, 1.00)",,,
ЦАРЕВНА-ЛЯГУШКА 3+ Театрализованное представление,carevna-lyagushka-3-teatralizovannoe-predstavlenie,63e507244eda1eb2934c7d16,655f099990ee606011edbb5c,Thu Nov 23 2023 08:13:13 GMT+0000 (Coordinated Universal Time),Thu Jan 04 2024 17:40:27 GMT+0000 (Coordinated Universal Time),Thu Jan 04 2024 17:40:27 GMT+0000 (Coordinated Universal Time),658096,false,4 января 2024,Thu Jan 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),16.00,false,,"<p id="""">Знакомый с детства сюжет предстанет &nbsp;в новой интерпретации. Ивану-Царевичу и заколдованной в лягушку Василисе Премудрой придётся победить злобного и коварного Кощея. В этой истории не только противная уродливая лягушка становится прекрасной царевной, но и Иван-Царевич из заносчивого безответственного парня постепенно превращается в настоящего героя, способного принимать решения и совершать поступки. На этом нелёгком пути ему помогают сказочные герои – Медведь, Утка и Щука, и даже сама Баба-Яга. В результате, добро, благородство и любовь победят все непреодолимые препятствия. Сопровождать зрителей в волшебный сказочный мир будет Гриб-рассказчик. Красочные декорации и костюмы, хорошо знакомые русские песни в современной аранжировке в сочетании с оригинальной музыкой в стиле фолк-рок и фолк-поп, написанной специально для спектакля композитором Денисом Забавским, а также игра актёров – всё это превратит старую сказку в яркое и динамичное действие, способное увлечь и детей и взрослых.</p><p>‍</p><p id=""""><em>Режиссёр-постановщик– </em><strong id=""""><em>Дамир Бахтиев</em></strong></p><p id=""""><em>Музыкальный руководитель и композитор – </em><strong id=""""><em>Денис Забавский</em></strong></p><p id=""""><em>Балетмейстер-постановщик– </em><strong id=""""><em>Даниил Вязовикин</em></strong></p><p id=""""><em>Художник– </em><strong id=""""><em>Анастасия Данилова</em></strong></p><p id=""""><em>Аранжировщик– </em><strong id=""""><em>Алексей Попков</em></strong></p><p><em>‍</em></p><p id=""""><em>В спектакле участвуют:</em></p><p id=""""><em>Государственный ансамбль русской музыки и танца «Садко»,</em></p><p id=""""><em>солисты Московской областной филармонии,</em></p><p id=""""><em>артисты театра и кино – </em><strong id=""""><em>Кристина Трофимович, Аркадий Сумцов, Евгений Булдаков, Вера Каяцкая, Юлия Журавлёва, Олег Тарасов, Елена Спиридонова, Павел Вальков</em></strong></p><p><em>‍</em></p><p id=""""><strong>Спектакль для семейного просмотра.</strong></p><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/655f071021d735a58027d822_04.01.24.jpg,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/655f0994461b81d9b6fedeae_04.jpg,#e1223c,,10,78,4271
Час русской музыки 6+ МИХАИЛ ЛИДСКИЙ (фортепиано),chas-russkoy-muzyki-6,63e507244eda1eb2934c7d16,64a531fa500fa85b4f4ce9d7,Wed Jul 05 2023 09:03:54 GMT+0000 (Coordinated Universal Time),Thu Jul 27 2023 11:10:03 GMT+0000 (Coordinated Universal Time),Thu Jul 27 2023 11:10:37 GMT+0000 (Coordinated Universal Time),593909,false,22 июля 2023,Sat Jul 22 2023 00:00:00 GMT+0000 (Coordinated Universal Time),17:00,false,,"<p id="""">В концертной программе доцента Московской консерватории Михаила Лидского – произведения великих русских композиторов-пианистов. Первое отделение отдано Рахманинову,150-летие которого отмечает в этом году весь мир. Во втором отделении прозвучит музыка Николая Метнера, друга и почитателя Рахманинова, затем Сергея Прокофьева, в чем-то антипода, а в чем-то продолжателя Рахманинова и Метнера.</p><p id="""">&nbsp;</p><p id=""""><strong id="""">С. Рахманинов</strong></p><p id="""">‍</p><p id="""">Прелюдии: Си мажор ор. 32-11, Соль мажор ор. 32-5</p><p id="""">Этюд-картина си минор ор. 39-4</p><p id="""">Баркарола ор. 10-3</p><p id="""">«Осколки»(1917)</p><p id="""">Этюды-картины: ре минор ор. 39-8, Ре мажор ор. 39-9</p><p id="""">‍</p><p id=""""><strong id="""">Н. Метнер </strong></p><p id="""">‍</p><p id="""">Две элегии ор. 59 <em id="""">(посвящены Наталье и Ивану Ильиным)</em></p><p id="""">‍</p><p id=""""><strong id="""">С. Прокофьев </strong></p><p id="""">‍</p><p id="""">Девятая соната ор. 103 <em id="""">(посвящена Святославу Рихтеру)</em></p><p id="""">Allegretto</p><p id="""">Allegro strepitoso – Andantino – Allegro I</p><p id="""">Andante tranquillo – Allegro sostenuto – Andante tranquillo, come prima –Allegro sostenuto – Andante tranquillo, come prima</p><p id="""">Allegro con brio, ma non troppo presto</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64a531f1f3bd1a09477dd97a_22.07.23.png,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64a531f467ffbab04c9e0d6d_%D1%85%D0%BE%D0%B4%D0%BE%D0%B2%D0%B0%D1%8F.png,"hsla(166.90140845070422, 86.59%, 32.16%, 1.00)","hsla(60, 1.64%, 11.96%, 1.00)",,,
Чехов и театр романса 6+,chehov-i-teatr-romansa-6,63e507244eda1eb2934c7d16,6477341fc12455764035c28d,Wed May 31 2023 11:48:47 GMT+0000 (Coordinated Universal Time),Tue Jun 13 2023 06:25:37 GMT+0000 (Coordinated Universal Time),Tue Jun 13 2023 06:25:59 GMT+0000 (Coordinated Universal Time),580281,false,11 июня,Sun Jun 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),17:00 ,false,,"<p id=""""><strong id="""">11 июня 2023&nbsp; &nbsp; &nbsp; &nbsp; 	в 17.00 &nbsp; &nbsp; &nbsp; 	6+&nbsp;</strong></p><p id="""">Вторая Молодежная программа оперных артистов реализуется в театре «Геликон-опера» при поддержке Президентского Фонда культурных инициатив.</p><p id="""">&nbsp;Первый летний концерт в Клину, который готовят стажеры&nbsp; программы,&nbsp; посвящен прекрасному русскому романсу!</p><p id="""">Под руководством режиссера Галины Тимаковой и педагогов – народной артистки России Натальи Загоринской, заслуженной артистки России Марины Карпеченко, лауреатов международных конкурсов Елены Михайленко, Михаила Никанорова и Григория Соловьева ребята готовят оригинальную камерную программу, в которую войдут романсы С. В. Рахманинова, Г. В. Свиридова, П. П. Булахова и А. Е. Варламова в обрамлении сценических фрагментов из «Трех сестер» А.П. Чехова&nbsp; Исполнение русских романсов требует прежде всего доверительной, сердечной атмосферы, высочайшего уровня актерского мастерства и искренней увлеченности. Все это обязательно будет, ведь молодые артисты в театре получают все самое лучшее и бесценное из сценического опыта своих наставников-геликоновцев</p><p id="""">В концерте принимают участие молодые артисты: Валентина Правдина, Александра Соколова, Софья Цыганкова, Алена Михаевич, Екатерина Шпильман, Василий Фузейников, Андрей Булгаков, Дмитрий Чернов, Андрей Чеснов и Яков Швецов.</p><p id="""">Им помогают концертмейстеры «Геликон-оперы»: заслуженная артистка России Наталия Арутюнова и Ирина Ковалева.</p><p id="""">Организаторы проекта: театр «Геликон-опера» и Фонд развития социальных инициатив Юрия и Марины Шамара. </p><p>‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/6477339fca6e0d51fa8bdc8d_11.06.23.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64773400fd35f25c4d78eb89_%D1%81%D0%B1%D0%BE%D1%80%D0%BD%D1%8B%D0%B5%20%D0%B3%D1%80%D1%83%D0%BF%D0%BF%D1%8B.webp,,,,,
День рождения П.И. Чайковского Александр Гиндин (6+),den-rozhdeniya-p-i-chaykovskogo-aleksandr-gindin-6,63e507244eda1eb2934c7d16,64132c28f8462c7b9f1ea3f0,Thu Mar 16 2023 14:48:08 GMT+0000 (Coordinated Universal Time),Mon May 08 2023 08:13:36 GMT+0000 (Coordinated Universal Time),Mon May 08 2023 08:13:48 GMT+0000 (Coordinated Universal Time),545660,false,07 мая 2023,Sun May 07 2023 00:00:00 GMT+0000 (Coordinated Universal Time),17:00,false,"Заслуженный артист РФ Александр Гиндин представит программу из фортепианных произведений Шуберта, Шопена, Грига, Чайковского, Рахманинова.","<h4 id="""">Заслуженный артист РФ Александр Гиндин представит программу из фортепианных произведений Шуберта, Шопена, Грига, Чайковского, Рахманинова.<br></h4><p id="""">‍</p><p id="""">Имя Александра Гиндина знакомо любому современному меломану. Талантливый артист, самобытный исполнитель, один из самых востребованных музыкантов нашего времени. В его фортепианной игре эмоциональность и яркость красок сочетается с виртуозным пианизмом, тонкостью, интеллектом и глубоким осмыслением музыки.</p><p id="""">Одаренность музыканта проявилась с самого раннего детства. В семнадцать лет, закончив ЦМШ при Московской консерватории, Александр Гиндин сразу же заявил о себе на престижном Международном конкурсе имени П. И. Чайковского. Завоевав почётное четвёртое место, он стал самым юным лауреатом за всю историю конкурса.</p><p id="""">В 1999 году Гиндин окончил Московскую консерваторию, получив диплом с отличием. Обучение и стажировку проходил под руководством своего педагога М. С. Воскресенского ­– одного из лучших учеников Л.Н. Оборина, яркого представителя игумновской фортепианной школы. Его педагогический профессионализм позволил Александру Гиндину в полной мере овладеть исполнительским мастерством, научиться выразительности и музыкальности звукоизвлечения.</p><p id="""">Яркие выступления Гиндина регулярно проходят в концертных залах России, Великобритании, Германии, Чехии, Швейцарии, Испании, Италии, Японии и других стран мира. Он сотрудничает с ведущими оркестрами России и стран Европы. Среди дирижеров, с которыми Гиндина связывают совместные выступления можно назвать В. Ашкенази, В. Федосеева, Ю. Домаркаса, Ю. Симонова, В. Синайского, В. Спивакова, М. Плетнева и многих других.</p><h5 id=""""><strong id="""">В программе концерта:</strong></h5><p id="""">Ф. Шуберт — Ф. Лист. Песни.<br>Весенние упования.<br>Молодая монахиня.<br>Вечерняя серенада.<br>Баркарола.<br>Приют.</p><p id="""">Ф Шопен. 4 мазурки для фортепиано. Скерцо № 2 для фортепиано.</p><p id="""">Э. Григ. Лирические пьесы (из 2-й и 3-й тетрадей), соч. 38, соч. 43.</p><p id="""">П. Чайковский. Думка. Русская деревенская картина, соч. 59.</p><p id="""">С. Рахманинов.</p><p id="""">Баркарола, из цикла «7 салонных пьес для фортепиано», соч. 10 № 3.</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64132bd573758f759431726d_%D0%93%D0%B8%D0%BD%D0%B4%D0%B8%D0%BD.webp,https://uploads-ssl.webflow.com/63e507244eda1ee9bb4c7ccd/64132c238f6492ca08ff3a2e_%D0%B3%D0%B8%D0%BD%D0%B4%D0%B8%D0%BD%20(1).webp,,,,,
